,상품명,가격,상품평 수
270,"곰곰 냉동 딸기, 1kg, 1개",6540,1151
271,"능주농협 GAP 인증 대추방울토마토, 2kg, 1개",12900,3098
272,"곰곰 국내산 열무 김치, 1kg, 1개",7990,755
273,"햇반, 210g, 36개",30690,21909
274,"상하목장 마이리틀 유기농 짜먹는 요거트 사과바나나, 85g, 12개",9720,172
275,"켈로그 첵스초코 마시멜로 X 신비아파트 플레이팩 시리얼, 800g, 1개",8980,215
276,"무항생제 인증 아침에 특란 30구, 1800g, 1개",4990,252
277,"곰곰 국내산 총각 김치, 1.5kg, 1개",9480,1757
278,"무항생제 인증 아침에 대란 30구, 1560g, 1개",4790,177
279,"곰곰 2019년 소중한 우리 쌀 신동진, 10kg, 1개",27890,4705
280,"친환경인증 청상추, 200g, 1봉",1730,2334
281,"서울우유 비요뜨 오! 그래놀라, 141g, 12개",13200,393
282,"곰곰 호주산 소고기 앞다리살 다짐육 300g (냉장), 1개",6320,140
283,"농심 앵그리 너구리, 5개",3320,982
284,"곰곰 케이준치킨 샐러드, 180g, 2개",6900,63
285,"머거본 간식종합선물세트, 간식 15종, 1세트",17000,219
286,"비비고 고등어구이, 60g, 3개",8180,746
287,"종근당건강 락토핏 생유산균 골드 80포, 2000mg, 240개입",46000,12092
288,"프레시지 자이언트 부대찌개 밀키트, 700g, 1개",10000,1265
289,"영일만친구 속살까지 부드러운 오징어 5마리, 250g, 1팩",15340,96
290,"서울우유 생크림, 500ml, 1팩",4490,696
291,"신라명과 부시맨 빵 (냉동), 100g, 6개",5980,2146
292,"곰곰 한돈 칼집 국내산 삼겹살 (냉동), 500g, 2개",18310,604
293,"뉴트리원 BB LAB 화이트업, 60정, 2개",35900,30
294,"풀무원 얇은피 꽉찬속 고기만두 (냉동), 1kg, 1개",9900,5943
295,"해태제과 홈런볼 초코, 46g, 4개",2940,23537
296,"웰프레쉬 냉동 애플망고 (냉동), 1kg, 2개",11630,209
